brand,title,reviews,price,image
Yemberzal,"Aari Embroidery Pashmini shawl with Oversized for 200""x70"" High in quality with light weight 310GM",0,49.0,https://m.media-amazon.com/images/I/61rZQg0RPoL._AC_UL960_FMwebp_QL65_.jpg
Yemberzal,"Traditional Kashmiri Badaam Embroidery Style Shawl oversized with measuring 200""x70"" and light weight 300GMS.",1,44.0,https://m.media-amazon.com/images/I/71Cb4Dcg-RL._AC_UL960_FMwebp_QL65_.jpg
Achillea,womens Bp-025 Pashmina Shawl,8,98.0,https://m.media-amazon.com/images/I/81ayP4fXEDL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,707,88.0,https://m.media-amazon.com/images/I/713NxmIqWAL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,Women's Kashmiri Mughal Shawl - Jacquard Evening Wrap | Scarf Pashmina Gifts for Women,707,126.0,https://m.media-amazon.com/images/I/71Y1bGCCpML._AC_UL960_FMwebp_QL65_.jpg
Pashtush,"Women's Kashmiri Embroidery Shawl, Jacquard Palla, Warm Ande Soft, Wool Design With Aari Needlework",1,111.0,https://m.media-amazon.com/images/I/81w7XW+mtVL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,Soft Silky Reversible Paisley Pashmina Shawl Wrap Scarf w/Fringes,12,59.0,https://m.media-amazon.com/images/I/8147VbF6bRL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Pashmina Wool Blend Indian Handicraft Woven Shawls, Scarf, Wraps [Large Size: 40"" X 80""]",942,80.0,https://m.media-amazon.com/images/I/71YSmxQ4waL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,womens Kani Shawl Pashmina Shawl,90,80.0,https://m.media-amazon.com/images/I/71gvVzeOAGL._AC_UL960_FMwebp_QL65_.jpg
Achillea,womens A-001 Classic,11000,86.0,https://m.media-amazon.com/images/I/81Umfsip+bL._AC_UL960_FMwebp_QL65_.jpg
The Kashmir Emporium,"Lightweight Thick Soft Pashmina Scarfs, Cashmere Shawls and Wraps for Women's",18,64.0,https://m.media-amazon.com/images/I/41xmPJKJrJL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Men Jamawar Shawl, Authentic Kashmiri Luxury Pashmina Style Shawl, Stole, Medium Size for Gents, (Size 101X203 CM)",576,133.0,https://m.media-amazon.com/images/I/61QYG897lfL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",1,80.0,https://m.media-amazon.com/images/I/81GSSizO1-L._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",1,80.0,https://m.media-amazon.com/images/I/71Ck+2SJ5TL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women Gulabkali Kashmiri Aari Embroidery Stole, Shawl, & Wrap, Luxury Pashmina Evening Wrap (Size: 28X80 Inches)",140,105.0,https://m.media-amazon.com/images/I/611YQcrVOXL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,"Pashmina Scarf for Women, Silky Shawl Wrap for Evening Dress, Soft Blanket Poncho Cape",10,56.0,https://m.media-amazon.com/images/I/81gpD2tm6gL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women's Kashmiri Mughal Shawl, Jacquard Shawl| Evening Wraps for Women | Women Shawl Wrap Scarf Pashmina Gifts",453,111.0,https://m.media-amazon.com/images/I/71Tju8pb7oL._AC_UL960_FMwebp_QL65_.jpg
Pashtush,"Women's Kashmiri Shawl, Faux Pashmina Design",138,106.0,https://m.media-amazon.com/images/I/71dxoLY8IEL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women's Faux Pashmina Wool Jamawar Shawl, Luxury Kashmiri Pashmina Shawls, Stoles and Wraps (Size: 40X80 Inches)",5,124.0,https://m.media-amazon.com/images/I/81fiNyvh+KL._AC_UL960_FMwebp_QL65_.jpg
Lamca,Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women,323,35.0,https://m.media-amazon.com/images/I/81DlR+YCD+L._AC_UL960_FMwebp_QL65_.jpg
The Kashmir Emporium,Pashmina Shawls and Wraps Large Scarfs for Women Wedding Party Bridal Long Fashion Solid Shawl Wrap with Fringes,4,28.0,https://m.media-amazon.com/images/I/616jy5gc5eL._AC_UL960_FMwebp_QL65_.jpg
Pashtush,"Women's Kashmiri Shawl, Faux Pashmina Shawl, Warm And Soft, Luxury Design",722,110.0,https://m.media-amazon.com/images/I/81jzuCcf1OL._AC_UL960_FMwebp_QL65_.jpg
Lamca,Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women,323,35.0,https://m.media-amazon.com/images/I/81pb18nl8jL._AC_UL960_FMwebp_QL65_.jpg
Lamca,Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women,323,35.0,https://m.media-amazon.com/images/I/71SRH-S3eGL._AC_UL960_FMwebp_QL65_.jpg
Lamca,Women Pashmina Shawls and Wraps Scarf Soft Silky Reversible Paisley Scarves Shawl for Women,323,35.0,https://m.media-amazon.com/images/I/81+KgQv6H7L._AC_UL960_FMwebp_QL65_.jpg
FURTALK,Pashmina Shawl Wraps Cashmere Feel Blanket Scarves Fashion Scarf for Women Evening Wedding Bridesmaid Gifts,2,25.0,https://m.media-amazon.com/images/I/71dHMmxhY+L._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,"Women's Faux Pashmina Silk Paisley Design Shawls, Stoles",1,80.0,https://m.media-amazon.com/images/I/81GqVe5kBDL._AC_UL960_FMwebp_QL65_.jpg
FURTALK,Pashmina Shawl Wraps Cashmere Feel Blanket Scarves Fashion Scarf for Women Evening Wedding Bridesmaid Gifts,2,19.0,https://m.media-amazon.com/images/I/61EQ0xBEAZL._AC_UL960_FMwebp_QL65_.jpg
LBOYLOVE,Women's Reversible Pashmina Soft Large Scarves Shawl Wrap for Women Big Scarf Holiday Gifts,3,45.0,https://m.media-amazon.com/images/I/81VJvnhlEFL._AC_UL960_FMwebp_QL65_.jpg
NALACAL,"Women's Winter Shawl, Traditional Retro Printing Shawl, Tassel Scarf Floral Pashmina Shawl, Warm Scarf Wraps for Lady, Black",2,42.0,https://m.media-amazon.com/images/I/61HvbPMKArL._AC_UL960_FMwebp_QL65_.jpg
ELECDON,"Cashmere Texture Pashmina Style Scarf Shawl for Autumn Winter, Soft Heavy Weight Wrap Blanket Scarf for Women Men, 350g Thick Warm Fashion Accessory",5,60.0,https://m.media-amazon.com/images/I/81btcQjFEcL._AC_UL960_FMwebp_QL65_.jpg
Upbull,Winter Shawl Wraps Women Knitted Shawls and Wraps Cardigan Cape Wool Pashmina Shoulder Top Sweater Shawl Scarf 2025,816,54.0,https://m.media-amazon.com/images/I/51QNRnlPK5L._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,"Soft Silky Faux Pashmina Shawl for Women, Reversible Paisley Pashmina Shawl Wrap Scarf with Fringes, Oversized Printed Scarf Cashmere Silky Shawl Wraps Evening Dress Blanket Front Cardigan Soft Wrap",3,35.0,https://m.media-amazon.com/images/I/711VljHub2L._AC_UL960_FMwebp_QL65_.jpg
SKY Cashmere,Silky Soft Cashmere-Blend Pashmina Shawl for Women Scarf Cozy Tassel Elegant Winter scarf women Wrap Lightweight Breathable Layering Travel Accessory Shawl Gift for Women One Size,4,59.0,https://m.media-amazon.com/images/I/61stL1hjlvL._AC_UL960_FMwebp_QL65_.jpg
LBOYLOVE,Women's Reversible Pashmina Soft Large Scarves Shawl Wrap for Women Big Scarf Holiday Gifts,3,45.0,https://m.media-amazon.com/images/I/51SD6a4fkKL._AC_UL960_FMwebp_QL65_.jpg
,Women's Scarf Pashmina Shawls and Wraps for Evening Dress Wedding Bridal Bridesmaid Winter Warm Long Large Scarves,1,53.0,https://m.media-amazon.com/images/I/51FLlIxf8+L._AC_UL960_FMwebp_QL65_.jpg
ShineGlitz,"Pashmina Shawls and Wraps for Evening Dresses, Large Soft Pashminas Wedding Shawl",5,88.0,https://m.media-amazon.com/images/I/71YZRirJq6L._AC_UL960_FMwebp_QL65_.jpg
SKY Cashmere,™ Oversized Pashmina Shawl for Women – Soft Two Tone Large Scarf Women Warm Lightweight Wrap and Stole for Wedding Evening Dress Bridesmaid Gifts for Women One Size,18,48.0,https://m.media-amazon.com/images/I/71R3GMRJWIL._AC_UL960_FMwebp_QL65_.jpg
Weavers Villa,Men MS-987 Stole (pack of 1),1000,70.0,https://m.media-amazon.com/images/I/81rZ+0zVWXL._AC_UL960_FMwebp_QL65_.jpg
EURKEA,"Women's Scarf Pashmina Silky Soft Shawls Wraps Stole for Evening, Wedding and Gift",740,100.0,https://m.media-amazon.com/images/I/61eunv+NXOL._AC_UL960_FMwebp_QL65_.jpg
TZ Promise,womens Solid Pashmina Pashmina Scarf,1,69.0,https://m.media-amazon.com/images/I/61yCRSviVtL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,"Reversible Paisley Pashmina Shawl Wrap Women, Woven Soft Silky Vintage Jacquard Pashmina Rave Scarf with Fringe for Evening, Wedding",2,52.0,https://m.media-amazon.com/images/I/71p-HPN63yL._AC_UL960_FMwebp_QL65_.jpg
RIIQIICHY,womens Riiqiichy Pashmina Shawl,17,51.0,https://m.media-amazon.com/images/I/61Z8jOagM5L._AC_UL960_FMwebp_QL65_.jpg
GERUNSI,womens Smfyr Classic,207,27.0,https://m.media-amazon.com/images/I/81oI1QgOacL._AC_UL960_FMwebp_QL65_.jpg
Pashmoda,"Women Rajwada Kashmiri Jamawar Woven Shawl, Kaani Jacquard Shawls, Stoles, Wraps, Luxury Pashmina Evening Wrap (Size: 40X80 Inches)",54,147.0,https://m.media-amazon.com/images/I/71RcA-mW1KL._AC_UL960_FMwebp_QL65_.jpg
GERUNSI,womens Smfyr Classic,207,27.0,https://m.media-amazon.com/images/I/71M-F6hbBOL._AC_UL960_FMwebp_QL65_.jpg
SYOSI,"Women's Classic Print Cashmere Feel Pashmina Wrap, 73x26 Inch Oversized Winter Scarf & Blanket - Monogram Shawl for Travel, Office, Gift",0,56.0,https://m.media-amazon.com/images/I/61EPVxjAEYL._AC_UL960_FMwebp_QL65_.jpg
KASTWAVE,"Pashmina Scarf, Two-Tone Vintage Paisley Pashmina Scarf – Soft Lightweight Wrap & Shawl for Dresses, Weddings, Travel, All Seasons",0,39.0,https://m.media-amazon.com/images/I/71q1L3579JL._AC_UL960_FMwebp_QL65_.jpg
