web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,price,data17,title3,data18,data19,data20,data21,data22,data23,image
"1780573743-1","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","ONE OF A KIND Embroidered Pashmina Scarf / Janvar Palla Design / Hand-Stitched Ari Embroidery / Unique Luxury Kashmir Wrap / Swiss Brand","Ad・By Houseofgaash","Ad from shop houseofgaash","Houseofgaash","79,935","","","","","","","","More like this","Add to cart","By houseofgaash","Shop owned by Gaash","houseofgaash","1 month on Etsy","Gaash","","","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/65424814/r/il/ac34a6/8084644169/il_765x1020.8084644169_7mhk.jpg"
"1780573743-2","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handloom Pashmina Blend Shawl - Heavy Ethnic Aari Embroidery | Luxury Wedding Stole, Kashmiri Floral Winter Scarf, Artisan Evening Wrap","Ad・By Pashnova","Ad from shop Pashnova","Pashnova","","Sale Price ₹ 7,781","7,781","","15,564","Original Price ₹ 15,564","(50% off)","","More like this","Add to cart","By Pashnova","Shop owned by Kapil","Pashnova","1 month on Etsy","Kapil","Free delivery","","","Add to Favourites","Loading","","₹","・","₹","https://i.etsystatic.com/63643557/r/il/eb2e75/8108563215/il_765x1020.8108563215_hedk.jpg"
"1780573743-3","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handmade Kashmiri Pashmina Scarf | 100% Pure Soft Wool Artisan Wrap","Ad・By ThreadAndDesignArt","Ad from shop ThreadAndDesignArt","ThreadAndDesignArt","","Sale Price ₹ 16,789","16,789","5.0","22,386","Original Price ₹ 22,386","(25% off)","(2)","More like this","Add to cart","Made by ThreadAndDesignArt","Shop owned by Sahib","ThreadAndDesignArt","10 months on Etsy","Sahib","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/60754467/r/il/134b87/7902713191/il_765x1020.7902713191_sc7f.jpg"
"1780573743-4","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Elegant Black Kashmiri Pashmina Shawl - Floral Gold Embroidery Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 7,061","7,061","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/75a6f3/8133729469/il_765x1020.8133729469_cej0.jpg"
"1780573743-5","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Black Hand Sozni Embroidered Pure Pashmina Shawl | Luxury Cashmere Wrap | Kashmiri Handcrafted Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","95,769","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/23578d/7929120382/il_765x1020.7929120382_3iss.jpg"
"1780573743-6","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Hand Embroidered Pure Pashmina Kashmir Shawl | Natural Beige Cashmere Wrap | Vibrant Floral Sozni Embroidery","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","69,944","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/21c686/7953496834/il_765x1020.7953496834_acts.jpg"
"1780573743-7","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","","Sale Price ₹ 5,294","5,294","4.9","10,588","Original Price ₹ 10,588","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","Shop owned by Zainab","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/61780180/c/1680/1680/57/881/il/e354ad/7203416459/il_765x1020.7203416459_c60m.jpg"
"1780573743-8","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 5,294","5,294","4.7","10,588","Original Price ₹ 10,588","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/558/il/a21506/6895498794/il_765x1020.6895498794_jayb.jpg"
"1780573743-9","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Natural Taupe Beige & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/73bfe4/8123476391/il_765x1020.8123476391_4bqv.jpg"
"1780573743-10","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Luxury Pashmina Embroidery Shawl : Ivory Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 7,061","7,061","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/b99b36/8125462383/il_765x1020.8125462383_d8z0.jpg"
"1780573743-11","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Authentic Sozni Embroidered Pashmina | Vibrant Paisley & Floral Pattern Wool Wrap | Pure Kashmiri Cashmere Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","188,311","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/379750/8040436829/il_765x1020.8040436829_s5ti.jpg"
"1780573743-12","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Mughal Darbar Black Kani Weave Pashmina Shawl: Pure Wool Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 13,357","13,357","4.8","16,697","Original Price ₹ 16,697","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/1037/1037/0/240/il/5e9af5/7277638961/il_765x1020.7277638961_kpin.jpg"
"1780573743-13","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Large Kashmiri Pashmina Kani Weave Shawl: Lightweight & Soft(40x80 Inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 10,771","10,771","4.8","13,465","Original Price ₹ 13,465","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/e19a45/7066296498/il_765x1020.7066296498_dz4p.jpg"
"1780573743-14","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Hand Embroidered Pure Pashmina Kashmir Shawl | Natural Beige Cashmere Wrap | Floral Sozni Embroidery","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","79,628","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/41199a/7957923512/il_765x1020.7957923512_kx73.jpg"
"1780573743-15","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Women's Large Black Kashmiri Pashmina Shawl: Kani Weave (40""x80"")","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 12,495","12,495","4.8","15,619","Original Price ₹ 15,619","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/1001/1001/0/329/il/43dd7e/7696699168/il_765x1020.7696699168_rubr.jpg"
"1780573743-16","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Luxury Embroidered Pashmina Shawl : Ivory & Maroon Kashmiri Paisley Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/34da60/8127341067/il_765x1020.8127341067_1wva.jpg"
"1780573743-17","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Kashmiri Pashmina Shawl: Light Pink Silk Needlework Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 15,404","15,404","4.8","19,255","Original Price ₹ 19,255","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/d6330c/7590580166/il_765x1020.7590580166_ab2t.jpg"
"1780573743-18","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","New Arrival Embroidered /Aari Needlework Kashmiri Pashmina Shawl/ Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 15,727","15,727","4.8","19,659","Original Price ₹ 19,659","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/c/956/956/0/482/il/c5d1dd/7696888534/il_765x1020.7696888534_ovc3.jpg"
"1780573743-19","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Handwoven Red Pure Pashmina Scarf Shawl | Hand Sozni Embroidery | Kashmir Cashmere Wrap","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","81,781","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/0e9f14/7838842026/il_765x1020.7838842026_ghha.jpg"
"1780573743-20","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","100% Authentic Pure Kashmiri Pashmina Shawl | Handwoven Reversible Mustard Yellow & Natural Grey Double-Sided Wrap | KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","37,662","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/fe3d2c/8112016901/il_765x1020.8112016901_9tqb.jpg"
"1780573743-21","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Luxury Black Kashmiri Pashmina Shawl: Jacquard Woven Wrap (40x80"")","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 7,541","7,541","4.8","9,426","Original Price ₹ 9,426","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/618/618/5/0/il/a2edae/4336834048/il_765x1020.4336834048_5z9w.jpg"
"1780573743-22","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","White Kashmiri Pashmina Shawl for Women, Full Embroidered Floral Wrap, Lightweight Handmade Summer Scarf","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","12,898","","","5.0","","","","(19)","More like this","Add to cart","Made by TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/c43199/8127133899/il_765x1020.8127133899_5hus.jpg"
"1780573743-23","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","100% Authentic Pure Kashmiri Pashmina Shawl | Rust Red & Camel Plaid Scarf | Authentic Handwoven Luxury Checkered Wrap (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","24,556","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/942fd5/8067201820/il_765x1020.8067201820_p9mf.jpg"
"1780573743-24","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Beige Kashmiri Pashmina Shawl – Handwoven Scarf with Aari Embroidery, Soft Winter Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","10,908","","","5.0","","","","(19)","More like this","Add to cart","Made by TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/9fc8a8/7278877473/il_765x1020.7278877473_e87n.jpg"
"1780573743-25","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Grey Kashmiri Pashmina Shawl, Kani Embroidered Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 11,849","11,849","4.8","14,811","Original Price ₹ 14,811","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/8fb5fd/6909408936/il_765x1020.6909408936_b6g9.jpg"
"1780573743-26","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Blue Embroidery Pashmina Shawl - Elegant Floral Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,660","6,660","4.2","13,322","Original Price ₹ 13,322","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/a3c3cb/8085732824/il_765x1020.8085732824_n778.jpg"
"1780573743-27","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Black Pashmina Scarf: Kashmiri Aari Embroidery, Winter Shawl","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1800/1800/107/957/il/772d8b/6895351284/il_765x1020.6895351284_pqt8.jpg"
"1780573743-28","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Luxury Pashmina Shawl: Kashmiri Sozni Embroidery, Natural Jamawar","By Kashmina786","From shop Kashmina786","Kashmina786","","Sale Price ₹ 78,335","78,335","4.8","92,159","Original Price ₹ 92,159","(15% off)","(24)","More like this","Add to cart","Made by Kashmina786","Shop owned by Umer","Kashmina786","7 years on Etsy","Umer","Free delivery","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/17750182/r/il/d70ea5/7233578279/il_765x1020.7233578279_5qj2.jpg"
"1780573743-29","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Brown Pashmina Shawl, Embroidered Kashmiri Pashmina, Pure Cashmere Scarf, Luxuriously Warm and Soft.","By PoshArtsStore","From shop PoshArtsStore","PoshArtsStore","28,144","","","4.8","","","","(47)","More like this","Add to cart","Made by PoshArtsStore","Shop owned by Sara","PoshArtsStore","5 years on Etsy","Sara","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/25062970/c/2999/2999/1/0/il/c42f72/3438887525/il_765x1020.3438887525_ed3d.jpg"
"1780573743-30","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Authentic Kashmiri Pure Pashmina Shawl with Tie-Dye Design - Hibiscus Petal","By Bagaethnikliving","From shop bagaethnikliving","Bagaethnikliving","25,451","","","4.7","","","","(82)","More like this","Add to cart","Made by bagaethnikliving","Shop owned by Rena","bagaethnikliving","4 years on Etsy","Rena","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/30863918/r/il/671e18/6825272554/il_765x1020.6825272554_5h5y.jpg"
"1780573743-31","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","Embroidered Kashmiri Pashmina Shawl: Handcrafted Wool Wrap","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1739/1739/130/828/il/46ce30/6968982390/il_765x1020.6968982390_163e.jpg"
